kb_id,category,intent,title,problem,symptoms,resolution_steps,additional_information,escalation_condition,search_text
KB085,Cards,lost_or_stolen_card,Lost or stolen card,The customer has lost their card or believes the card has been stolen.,"Lost card, stolen card, missing wallet containing the card, or request to replace a stolen card.",Secure the missing card using the available card controls and follow the process for reporting and replacing a lost or stolen card.,A missing physical card should be treated separately from an unrecognised payment.,Escalate if the customer reports suspected fraudulent use of the missing card.,lost card stolen card missing card report stolen card replace stolen card lost wallet card missing physical card
KB093,Cards,order_physical_card,Order a physical card,The customer wants to order or request a physical card.,"Questions about requesting a card, physical card cost, or where a physical card can be delivered.",Use the supported physical-card ordering process and review the available delivery and pricing information before submitting the order.,This intent is specifically about placing an order for a physical card.,Escalate if the customer cannot place the order through the supported process.,order physical card request card get card physical card card cost card price card delivery order new card
KB094,Cards,visa_or_mastercard,Visa or Mastercard,The customer wants to know whether the card is Visa or Mastercard or whether a preferred card network is available.,Questions about Visa versus Mastercard and preference for a particular card network.,Check the available card-network options and provide the applicable information for the customer's card.,"This intent concerns the card network, not general card acceptance.",Escalate if the customer has a card-network request that cannot be handled through the available options.,visa mastercard Visa or Mastercard card network mastercard card visa card choose mastercard
KB004,Login/Authentication,2fa_sms_not_received,SMS 2FA code not received,Customer does not receive a login verification SMS.,No SMS; delayed SMS; carrier-specific delivery failure.,"Confirm the registered phone number, wait briefly, request one new code, and use an alternate verification method if available.",Repeatedly requesting codes can invalidate earlier codes.,Escalate carrier-specific or persistent delivery failures.,"Category: Login/Authentication
Intent: 2fa_sms_not_received
Issue: SMS 2FA code not received
Problem: Customer does not receive a login verification SMS.
Symptoms: No SMS; delayed SMS; carrier-specific delivery failure.
Resolution: Confirm the registered phone number, wait briefly, request one new code, and use an alternate verification method if available.
Additional information: Repeatedly requesting codes can invalidate earlier codes.
Escalation: Escalate carrier-specific or persistent delivery failures."
KB002,Login/Authentication,account_locked,Account locked,Customer is locked out after too many failed login attempts.,Lockout message; repeated login failures.,"Verify identity, wait for the lockout period if applicable, then reset the password or unlock the account through the supported admin flow.",Do not bypass identity verification.,Escalate suspected account compromise.,"Category: Login/Authentication
Intent: account_locked
Issue: Account locked
Problem: Customer is locked out after too many failed login attempts.
Symptoms: Lockout message; repeated login failures.
Resolution: Verify identity, wait for the lockout period if applicable, then reset the password or unlock the account through the supported admin flow.
Additional information: Do not bypass identity verification.
Escalation: Escalate suspected account compromise."
KB011,Login/Authentication,captcha_not_loading,CAPTCHA does not load,Customer cannot submit the login form because CAPTCHA does not render.,Blank CAPTCHA; login blocked.,"Disable interfering browser extensions, verify corporate firewall/allowlist rules, reload the page, and retry in a supported browser.",Security software may block CAPTCHA resources.,Escalate when the customer's network blocks the required vendor domain.,"Category: Login/Authentication
Intent: captcha_not_loading
Issue: CAPTCHA does not load
Problem: Customer cannot submit the login form because CAPTCHA does not render.
Symptoms: Blank CAPTCHA; login blocked.
Resolution: Disable interfering browser extensions, verify corporate firewall/allowlist rules, reload the page, and retry in a supported browser.
Additional information: Security software may block CAPTCHA resources.
Escalation: Escalate when the customer's network blocks the required vendor domain."
KB006,Login/Authentication,email_verification,Verification email not received,Customer did not receive an email verification or activation message.,Missing verification email.,"Confirm the email address, check spam/quarantine, verify corporate mail rules, and resend the message.",A typo in the registered address can prevent delivery.,Escalate if delivery remains unsuccessful after address and mail-system checks.,"Category: Login/Authentication
Intent: email_verification
Issue: Verification email not received
Problem: Customer did not receive an email verification or activation message.
Symptoms: Missing verification email.
Resolution: Confirm the email address, check spam/quarantine, verify corporate mail rules, and resend the message.
Additional information: A typo in the registered address can prevent delivery.
Escalation: Escalate if delivery remains unsuccessful after address and mail-system checks."
KB005,Login/Authentication,magic_link_expired,Magic link expired,Passwordless login link expires before the customer can use it.,Expired login link; delayed email.,"Request a new magic link and open it promptly. If corporate email filtering delays delivery, use an alternate login method or have the mail administrator review delivery.",Link validity is time-limited.,Escalate repeated delivery delays.,"Category: Login/Authentication
Intent: magic_link_expired
Issue: Magic link expired
Problem: Passwordless login link expires before the customer can use it.
Symptoms: Expired login link; delayed email.
Resolution: Request a new magic link and open it promptly. If corporate email filtering delays delivery, use an alternate login method or have the mail administrator review delivery.
Additional information: Link validity is time-limited.
Escalation: Escalate repeated delivery delays."
KB010,Login/Authentication,mobile_login_failure,Mobile login fails while web login works,Credentials work on the website but fail in the mobile application.,Mobile says invalid credentials; web login succeeds.,"Update the mobile app, retry authentication, refresh the session/token, and verify that the mobile client is using a supported authentication API.",Old client versions can use outdated authentication endpoints.,Escalate if current app version still fails.,"Category: Login/Authentication
Intent: mobile_login_failure
Issue: Mobile login fails while web login works
Problem: Credentials work on the website but fail in the mobile application.
Symptoms: Mobile says invalid credentials; web login succeeds.
Resolution: Update the mobile app, retry authentication, refresh the session/token, and verify that the mobile client is using a supported authentication API.
Additional information: Old client versions can use outdated authentication endpoints.
Escalation: Escalate if current app version still fails."
KB001,Login/Authentication,password_reset,Password reset,Customer forgot their password or cannot sign in with the current password.,Password rejected; reset requested.,1. Select Forgot Password. 2. Enter the registered email. 3. Open the reset link. 4. Create a new password. 5. Sign in again.,Reset links may expire.,Escalate if the customer cannot access the registered email or repeated resets fail.,"Category: Login/Authentication
Intent: password_reset
Issue: Password reset
Problem: Customer forgot their password or cannot sign in with the current password.
Symptoms: Password rejected; reset requested.
Resolution: 1. Select Forgot Password. 2. Enter the registered email. 3. Open the reset link. 4. Create a new password. 5. Sign in again.
Additional information: Reset links may expire.
Escalation: Escalate if the customer cannot access the registered email or repeated resets fail."
KB009,Login/Authentication,session_expiry,Session expires unexpectedly,User is logged out repeatedly or immediately after login.,Unexpected logout; remember-me ineffective.,"Clear stale browser session data, test without extensions, verify cookie settings, and check session configuration.",Third-party cookie blocking or incorrect cookie expiry can cause this.,Escalate when the issue affects multiple browsers/users.,"Category: Login/Authentication
Intent: session_expiry
Issue: Session expires unexpectedly
Problem: User is logged out repeatedly or immediately after login.
Symptoms: Unexpected logout; remember-me ineffective.
Resolution: Clear stale browser session data, test without extensions, verify cookie settings, and check session configuration.
Additional information: Third-party cookie blocking or incorrect cookie expiry can cause this.
Escalation: Escalate when the issue affects multiple browsers/users."
KB008,Login/Authentication,sso_certificate,SSO certificate problem,SSO stopped working after an identity-provider certificate change.,SAML certificate error; authentication failure after certificate renewal.,"Update the application with the current IdP metadata/certificate, clear stale configuration where supported, and test with a fresh session.",Certificate rotation must be coordinated with the service configuration.,Escalate if the new certificate is valid but authentication still fails.,"Category: Login/Authentication
Intent: sso_certificate
Issue: SSO certificate problem
Problem: SSO stopped working after an identity-provider certificate change.
Symptoms: SAML certificate error; authentication failure after certificate renewal.
Resolution: Update the application with the current IdP metadata/certificate, clear stale configuration where supported, and test with a fresh session.
Additional information: Certificate rotation must be coordinated with the service configuration.
Escalation: Escalate if the new certificate is valid but authentication still fails."
KB007,Login/Authentication,sso_redirect_loop,SSO redirect loop,User is repeatedly redirected between the application and identity provider.,Infinite SSO redirect; login never completes.,"Verify SAML/OIDC configuration, certificate/metadata validity, redirect URI, and cached identity-provider configuration. Refresh metadata when appropriate.",Certificate or stale metadata changes can cause loops.,Escalate to the identity/integration team when configuration is correct but looping continues.,"Category: Login/Authentication
Intent: sso_redirect_loop
Issue: SSO redirect loop
Problem: User is repeatedly redirected between the application and identity provider.
Symptoms: Infinite SSO redirect; login never completes.
Resolution: Verify SAML/OIDC configuration, certificate/metadata validity, redirect URI, and cached identity-provider configuration. Refresh metadata when appropriate.
Additional information: Certificate or stale metadata changes can cause loops.
Escalation: Escalate to the identity/integration team when configuration is correct but looping continues."
KB003,Login/Authentication,two_factor_authentication,2FA code rejected,Authenticator codes are rejected even though the customer believes they are correct.,Invalid or expired 2FA codes.,"Enable automatic date/time synchronization on the device, generate a fresh code, and retry. If available, re-enroll the authenticator.",Device clock drift can invalidate time-based codes.,Escalate if re-enrollment does not resolve the issue.,"Category: Login/Authentication
Intent: two_factor_authentication
Issue: 2FA code rejected
Problem: Authenticator codes are rejected even though the customer believes they are correct.
Symptoms: Invalid or expired 2FA codes.
Resolution: Enable automatic date/time synchronization on the device, generate a fresh code, and retry. If available, re-enroll the authenticator.
Additional information: Device clock drift can invalidate time-based codes.
Escalation: Escalate if re-enrollment does not resolve the issue."
KB012,Login/Authentication,wrong_login_domain,Login redirects to wrong branded portal,Customer is shown the wrong tenant branding or portal.,Wrong logo/tenant; incorrect portal URL.,"Verify tenant/domain configuration, clear stale cache, and retry using the correct tenant URL.",Cached tenant assets can produce incorrect branding.,Escalate immediately if another customer's data or authenticated session is exposed.,"Category: Login/Authentication
Intent: wrong_login_domain
Issue: Login redirects to wrong branded portal
Problem: Customer is shown the wrong tenant branding or portal.
Symptoms: Wrong logo/tenant; incorrect portal URL.
Resolution: Verify tenant/domain configuration, clear stale cache, and retry using the correct tenant URL.
Additional information: Cached tenant assets can produce incorrect branding.
Escalation: Escalate immediately if another customer's data or authenticated session is exposed."
KB075,Performance,large_export,Large export times out,Large export cannot complete within the synchronous request window.,Export timeout.,"Use asynchronous export/job processing, filter the data, or split the export into smaller requests.",Asynchronous exports are preferred for very large datasets.,Escalate if small exports also time out.,"Category: Performance
Intent: large_export
Issue: Large export times out
Problem: Large export cannot complete within the synchronous request window.
Symptoms: Export timeout.
Resolution: Use asynchronous export/job processing, filter the data, or split the export into smaller requests.
Additional information: Asynchronous exports are preferred for very large datasets.
Escalation: Escalate if small exports also time out."
KB074,Performance,large_import,Large import crashes browser,Large spreadsheet/file import freezes or crashes the browser.,Tab becomes unresponsive during import.,Split the import into smaller batches or use the asynchronous/server-side import flow if available.,Very large client-side processing can exhaust browser memory.,Escalate if supported import sizes consistently crash.,"Category: Performance
Intent: large_import
Issue: Large import crashes browser
Problem: Large spreadsheet/file import freezes or crashes the browser.
Symptoms: Tab becomes unresponsive during import.
Resolution: Split the import into smaller batches or use the asynchronous/server-side import flow if available.
Additional information: Very large client-side processing can exhaust browser memory.
Escalation: Escalate if supported import sizes consistently crash."
KB073,Performance,mobile_battery,Mobile app battery drain,Mobile app uses unusually high battery.,Battery drains while app is open.,"Update the app, reduce unnecessary background activity, and check whether aggressive polling is occurring.",Battery behavior can vary by device/OS version.,Escalate reproducible excessive battery usage.,"Category: Performance
Intent: mobile_battery
Issue: Mobile app battery drain
Problem: Mobile app uses unusually high battery.
Symptoms: Battery drains while app is open.
Resolution: Update the app, reduce unnecessary background activity, and check whether aggressive polling is occurring.
Additional information: Battery behavior can vary by device/OS version.
Escalation: Escalate reproducible excessive battery usage."
KB072,Performance,slow_api,API response is slow,API requests take much longer than expected.,High response latency.,"Measure latency by endpoint, reduce payload size, paginate results, and check rate limiting or service status.",Large queries and uncached resources can be slower.,Escalate sustained latency affecting normal-sized requests.,"Category: Performance
Intent: slow_api
Issue: API response is slow
Problem: API requests take much longer than expected.
Symptoms: High response latency.
Resolution: Measure latency by endpoint, reduce payload size, paginate results, and check rate limiting or service status.
Additional information: Large queries and uncached resources can be slower.
Escalation: Escalate sustained latency affecting normal-sized requests."
KB071,Performance,slow_dashboard,Dashboard is slow,Dashboard becomes slower as the account accumulates data.,Long load time; timeout.,"Check dataset size, filters, browser performance, and service status. Use pagination/filtering where available.",Large result sets can increase query and rendering time.,Escalate persistent high latency with timestamps and account scope.,"Category: Performance
Intent: slow_dashboard
Issue: Dashboard is slow
Problem: Dashboard becomes slower as the account accumulates data.
Symptoms: Long load time; timeout.
Resolution: Check dataset size, filters, browser performance, and service status. Use pagination/filtering where available.
Additional information: Large result sets can increase query and rendering time.
Escalation: Escalate persistent high latency with timestamps and account scope."
KB050,Subscription,auto_renewal,Unexpected auto-renewal,Customer was charged despite believing renewal was disabled.,Renewal charge; auto-renewal disabled.,"Verify the saved renewal setting and renewal event, then apply refund/credit according to policy if the renewal was incorrect.",Record the timestamp of the opt-out setting.,Escalate disputed authorization.,"Category: Subscription
Intent: auto_renewal
Issue: Unexpected auto-renewal
Problem: Customer was charged despite believing renewal was disabled.
Symptoms: Renewal charge; auto-renewal disabled.
Resolution: Verify the saved renewal setting and renewal event, then apply refund/credit according to policy if the renewal was incorrect.
Additional information: Record the timestamp of the opt-out setting.
Escalation: Escalate disputed authorization."
KB049,Subscription,cancel_end_of_term,Cancellation access ended early,Customer expected access through the paid period but access stopped immediately after cancellation.,Subscription canceled; access removed early.,"Verify the billing period and cancellation timestamp, restore access through the paid term when policy requires it, and correct the cancellation state.",Contract terms can differ by plan.,Escalate contract-specific disputes.,"Category: Subscription
Intent: cancel_end_of_term
Issue: Cancellation access ended early
Problem: Customer expected access through the paid period but access stopped immediately after cancellation.
Symptoms: Subscription canceled; access removed early.
Resolution: Verify the billing period and cancellation timestamp, restore access through the paid term when policy requires it, and correct the cancellation state.
Additional information: Contract terms can differ by plan.
Escalation: Escalate contract-specific disputes."
KB053,Subscription,downgrade,Downgrade subscription,Customer wants a lower tier but is blocked.,Downgrade unavailable; usage too high.,"Compare current usage with the lower-tier limits, reduce usage if necessary, then retry the downgrade.",Some plans may require end-of-term changes.,Escalate contract restrictions.,"Category: Subscription
Intent: downgrade
Issue: Downgrade subscription
Problem: Customer wants a lower tier but is blocked.
Symptoms: Downgrade unavailable; usage too high.
Resolution: Compare current usage with the lower-tier limits, reduce usage if necessary, then retry the downgrade.
Additional information: Some plans may require end-of-term changes.
Escalation: Escalate contract restrictions."
KB055,Subscription,feature_access_after_downgrade,Premium feature remains after downgrade,Customer still sees premium features after moving to a lower plan.,Old features remain available.,"Verify the new plan, refresh entitlement/feature flags, and confirm access after propagation.",Entitlement caches can temporarily retain old access.,Escalate security-sensitive entitlement failures.,"Category: Subscription
Intent: feature_access_after_downgrade
Issue: Premium feature remains after downgrade
Problem: Customer still sees premium features after moving to a lower plan.
Symptoms: Old features remain available.
Resolution: Verify the new plan, refresh entitlement/feature flags, and confirm access after propagation.
Additional information: Entitlement caches can temporarily retain old access.
Escalation: Escalate security-sensitive entitlement failures."
KB058,Subscription,nonprofit_discount,Nonprofit discount issue,Eligible nonprofit customer cannot obtain or retain the nonprofit discount.,Verification rejected; discount absent.,"Verify nonprofit documentation and registration details, correct submission errors, and reprocess verification.",Discount eligibility requires valid documentation.,Escalate ambiguous eligibility decisions.,"Category: Subscription
Intent: nonprofit_discount
Issue: Nonprofit discount issue
Problem: Eligible nonprofit customer cannot obtain or retain the nonprofit discount.
Symptoms: Verification rejected; discount absent.
Resolution: Verify nonprofit documentation and registration details, correct submission errors, and reprocess verification.
Additional information: Discount eligibility requires valid documentation.
Escalation: Escalate ambiguous eligibility decisions."
KB051,Subscription,pause_subscription,Pause subscription,Customer wants to temporarily stop billing without deleting the account.,Temporary leave; wants to preserve data.,"Check whether subscription pause is supported, apply the approved pause option, and confirm the new billing/resumption date.",Do not cancel if the customer explicitly needs a temporary pause.,Escalate if the plan does not support pausing.,"Category: Subscription
Intent: pause_subscription
Issue: Pause subscription
Problem: Customer wants to temporarily stop billing without deleting the account.
Symptoms: Temporary leave; wants to preserve data.
Resolution: Check whether subscription pause is supported, apply the approved pause option, and confirm the new billing/resumption date.
Additional information: Do not cancel if the customer explicitly needs a temporary pause.
Escalation: Escalate if the plan does not support pausing."
KB056,Subscription,plan_limits,Plan limit incorrect,Customer is blocked by a limit that does not match the subscribed plan.,Unexpected usage limit.,"Verify plan type, account flags, and the feature's documented limit; correct entitlement configuration if inconsistent.",Team and individual plans may have different limits.,Escalate persistent entitlement mismatches.,"Category: Subscription
Intent: plan_limits
Issue: Plan limit incorrect
Problem: Customer is blocked by a limit that does not match the subscribed plan.
Symptoms: Unexpected usage limit.
Resolution: Verify plan type, account flags, and the feature's documented limit; correct entitlement configuration if inconsistent.
Additional information: Team and individual plans may have different limits.
Escalation: Escalate persistent entitlement mismatches."
KB057,Subscription,referral_credit,Referral credit missing,Customer referred another user but did not receive the expected credit.,Referral completed; no credit.,"Verify referral attribution, qualifying purchase, and tracking window, then apply credit according to the referral policy if eligible.",Referral programs usually have eligibility conditions.,Escalate disputed eligibility.,"Category: Subscription
Intent: referral_credit
Issue: Referral credit missing
Problem: Customer referred another user but did not receive the expected credit.
Symptoms: Referral completed; no credit.
Resolution: Verify referral attribution, qualifying purchase, and tracking window, then apply credit according to the referral policy if eligible.
Additional information: Referral programs usually have eligibility conditions.
Escalation: Escalate disputed eligibility."
KB054,Subscription,subscription_past_due,Subscription incorrectly marked past due,Account shows past-due status after successful payment.,Past-due banner despite successful payment.,"Verify payment processor status and transaction ID, refresh subscription state, and confirm the account reflects the successful payment.",Processor-to-subscription synchronization can lag.,Escalate if payment status and subscription status remain inconsistent.,"Category: Subscription
Intent: subscription_past_due
Issue: Subscription incorrectly marked past due
Problem: Account shows past-due status after successful payment.
Symptoms: Past-due banner despite successful payment.
Resolution: Verify payment processor status and transaction ID, refresh subscription state, and confirm the account reflects the successful payment.
Additional information: Processor-to-subscription synchronization can lag.
Escalation: Escalate if payment status and subscription status remain inconsistent."
KB052,Subscription,upgrade,Upgrade subscription,Customer wants a higher subscription tier.,Needs more features/limits.,"Review available plans, confirm pricing and effective date, then complete the supported upgrade flow.",Proration may apply.,Escalate enterprise/custom-contract upgrades.,"Category: Subscription
Intent: upgrade
Issue: Upgrade subscription
Problem: Customer wants a higher subscription tier.
Symptoms: Needs more features/limits.
Resolution: Review available plans, confirm pricing and effective date, then complete the supported upgrade flow.
Additional information: Proration may apply.
Escalation: Escalate enterprise/custom-contract upgrades."
KB059,Technical/Bug,browser_issue,Browser-specific issue,A feature works in one browser but fails in another.,Browser-specific failure.,"Test in a supported browser, disable extensions, clear site data, and compare console/network errors if troubleshooting requires them.",Browser-specific security and storage behavior can differ.,Escalate confirmed browser-specific product defects.,"Category: Technical/Bug
Intent: browser_issue
Issue: Browser-specific issue
Problem: A feature works in one browser but fails in another.
Symptoms: Browser-specific failure.
Resolution: Test in a supported browser, disable extensions, clear site data, and compare console/network errors if troubleshooting requires them.
Additional information: Browser-specific security and storage behavior can differ.
Escalation: Escalate confirmed browser-specific product defects."
KB064,Technical/Bug,calendar_timezone,Calendar event time incorrect,Calendar events appear one hour or more off.,Time shifted around timezone/DST changes.,"Verify the account timezone, event timezone, and daylight-saving transition. Recreate only if the stored event time is actually incorrect.",Timezone display and stored timestamps should be checked separately.,Escalate systematic timezone rendering errors.,"Category: Technical/Bug
Intent: calendar_timezone
Issue: Calendar event time incorrect
Problem: Calendar events appear one hour or more off.
Symptoms: Time shifted around timezone/DST changes.
Resolution: Verify the account timezone, event timezone, and daylight-saving transition. Recreate only if the stored event time is actually incorrect.
Additional information: Timezone display and stored timestamps should be checked separately.
Escalation: Escalate systematic timezone rendering errors."
KB067,Technical/Bug,clipboard,Copy button fails,Copy-to-clipboard action does nothing.,Clipboard permission error; embedded page.,"Retry in a supported browser, check iframe permissions and browser clipboard permissions, and use the provided fallback copy method if available.",Embedded contexts may require explicit clipboard permission.,Escalate if the supported configuration still fails.,"Category: Technical/Bug
Intent: clipboard
Issue: Copy button fails
Problem: Copy-to-clipboard action does nothing.
Symptoms: Clipboard permission error; embedded page.
Resolution: Retry in a supported browser, check iframe permissions and browser clipboard permissions, and use the provided fallback copy method if available.
Additional information: Embedded contexts may require explicit clipboard permission.
Escalation: Escalate if the supported configuration still fails."
KB061,Technical/Bug,dark_mode,Dark mode preference resets,Dark mode does not persist between sessions.,Preference resets after browser/app restart.,"Re-enable the setting, verify account preference storage, and test after a fresh session.",Session-only storage can cause preferences to reset.,Escalate if the setting is not persisted server-side.,"Category: Technical/Bug
Intent: dark_mode
Issue: Dark mode preference resets
Problem: Dark mode does not persist between sessions.
Symptoms: Preference resets after browser/app restart.
Resolution: Re-enable the setting, verify account preference storage, and test after a fresh session.
Additional information: Session-only storage can cause preferences to reset.
Escalation: Escalate if the setting is not persisted server-side."
KB069,Technical/Bug,data_encoding,Text truncated or corrupted,Special characters or emoji disappear from saved text.,Text truncation; character corruption.,Retry with supported input and capture the exact characters causing the issue.,Character encoding problems can affect certain Unicode characters.,Escalate reproducible encoding failures.,"Category: Technical/Bug
Intent: data_encoding
Issue: Text truncated or corrupted
Problem: Special characters or emoji disappear from saved text.
Symptoms: Text truncation; character corruption.
Resolution: Retry with supported input and capture the exact characters causing the issue.
Additional information: Character encoding problems can affect certain Unicode characters.
Escalation: Escalate reproducible encoding failures."
KB060,Technical/Bug,file_upload,File upload fails,Customer cannot upload a file.,Upload button/drag-and-drop fails.,"Verify file type and size limits, test the standard browse upload, retry in a supported browser, and check network restrictions.",Drag-and-drop can have browser/OS-specific behavior.,Escalate reproducible failures with valid files.,"Category: Technical/Bug
Intent: file_upload
Issue: File upload fails
Problem: Customer cannot upload a file.
Symptoms: Upload button/drag-and-drop fails.
Resolution: Verify file type and size limits, test the standard browse upload, retry in a supported browser, and check network restrictions.
Additional information: Drag-and-drop can have browser/OS-specific behavior.
Escalation: Escalate reproducible failures with valid files."
KB068,Technical/Bug,image_orientation,Uploaded image rotated,Phone photo appears sideways after upload.,Image orientation incorrect.,Re-upload using a supported format or rotate the image locally if needed; report reproducible EXIF orientation failures.,Phone images may contain EXIF orientation metadata.,Escalate if many image formats are affected.,"Category: Technical/Bug
Intent: image_orientation
Issue: Uploaded image rotated
Problem: Phone photo appears sideways after upload.
Symptoms: Image orientation incorrect.
Resolution: Re-upload using a supported format or rotate the image locally if needed; report reproducible EXIF orientation failures.
Additional information: Phone images may contain EXIF orientation metadata.
Escalation: Escalate if many image formats are affected."
KB066,Technical/Bug,keyboard_shortcuts,Keyboard shortcuts stop working,Shortcuts stop responding after opening a dialog/modal.,Shortcuts inactive after modal closes.,"Close the modal, restore focus to the main page, and retry. If reproducible, capture the modal sequence and browser details.",Focus management can block keyboard listeners.,Escalate reproducible UI defects.,"Category: Technical/Bug
Intent: keyboard_shortcuts
Issue: Keyboard shortcuts stop working
Problem: Shortcuts stop responding after opening a dialog/modal.
Symptoms: Shortcuts inactive after modal closes.
Resolution: Close the modal, restore focus to the main page, and retry. If reproducible, capture the modal sequence and browser details.
Additional information: Focus management can block keyboard listeners.
Escalation: Escalate reproducible UI defects."
KB063,Technical/Bug,notification_count,Unread notification count incorrect,Notification badge remains nonzero after notifications are read.,Unread count stuck.,"Refresh the page, verify all notifications are marked read, and test across tabs/devices.",Concurrent tabs can create stale counts.,Escalate persistent count synchronization bugs.,"Category: Technical/Bug
Intent: notification_count
Issue: Unread notification count incorrect
Problem: Notification badge remains nonzero after notifications are read.
Symptoms: Unread count stuck.
Resolution: Refresh the page, verify all notifications are marked read, and test across tabs/devices.
Additional information: Concurrent tabs can create stale counts.
Escalation: Escalate persistent count synchronization bugs."
KB062,Technical/Bug,pdf_export,PDF export incorrect,"Exported PDF is cut off, malformed, or missing content.",Columns clipped; layout incorrect.,"Retry export, reduce extremely wide content, and use landscape or supported export settings where available.",Wide tables may require responsive rendering.,Escalate reproducible export defects.,"Category: Technical/Bug
Intent: pdf_export
Issue: PDF export incorrect
Problem: Exported PDF is cut off, malformed, or missing content.
Symptoms: Columns clipped; layout incorrect.
Resolution: Retry export, reduce extremely wide content, and use landscape or supported export settings where available.
Additional information: Wide tables may require responsive rendering.
Escalation: Escalate reproducible export defects."
KB070,Technical/Bug,scheduled_report,Scheduled report stopped,Previously working scheduled report no longer arrives.,No scheduled email; no visible error.,"Check schedule status, recipient address, email bounce/quarantine, and report job history; re-enable the schedule if disabled.",A previous email bounce can disable some scheduled jobs.,Escalate repeated scheduler failures.,"Category: Technical/Bug
Intent: scheduled_report
Issue: Scheduled report stopped
Problem: Previously working scheduled report no longer arrives.
Symptoms: No scheduled email; no visible error.
Resolution: Check schedule status, recipient address, email bounce/quarantine, and report job history; re-enable the schedule if disabled.
Additional information: A previous email bounce can disable some scheduled jobs.
Escalation: Escalate repeated scheduler failures."
KB065,Technical/Bug,search_not_matching,Search misses valid records,Search fails to return records that appear to match the query.,No results for known record.,"Try normalized spelling, remove unnecessary filters, and verify indexing status.",Diacritics and normalization can affect matching.,Escalate indexing defects.,"Category: Technical/Bug
Intent: search_not_matching
Issue: Search misses valid records
Problem: Search fails to return records that appear to match the query.
Symptoms: No results for known record.
Resolution: Try normalized spelling, remove unnecessary filters, and verify indexing status.
Additional information: Diacritics and normalization can affect matching.
Escalation: Escalate indexing defects."
KB095,Transfers,balance_not_updated_after_bank_transfer,Bank transfer balance not updated,"A bank transfer was completed, but the available account balance has not been updated yet.",Bank transfer completed; balance still shows the previous amount; transferred funds are not visible in the account.,"1. Confirm that the bank transfer was submitted successfully.
2. Check the transfer status and transaction details.
3. Allow the normal processing time for the transfer to complete.
4. If the transfer has completed but the balance is still incorrect, contact support with the transfer details.",Bank transfers may take time to appear depending on the transfer method and processing status.,Escalate if the transfer is confirmed completed but the account balance remains incorrect or the transfer cannot be located.,"Bank transfer balance not updated
A bank transfer was completed, but the available account balance has not been updated yet.
Bank transfer completed; balance still shows the previous amount; transferred funds are not visible in the account.
1. Confirm that the bank transfer was submitted successfully.
2. Check the transfer status and transaction details.
3. Allow the normal processing time for the transfer to complete.
4. If the transfer has completed but the balance is still incorrect, contact support with the transfer details.
Bank transfers may take time to appear depending on the transfer method and processing status.
Escalate if the transfer is confirmed completed but the account balance remains incorrect or the transfer cannot be located."
KB096,Transfers,beneficiary_not_allowed,Beneficiary cannot be added or used,"A customer cannot add, select, or make a transfer to a beneficiary.",Beneficiary cannot be added; beneficiary is unavailable; transfer to a beneficiary is blocked or rejected.,"1. Check that the beneficiary details are entered correctly.
2. Confirm that the beneficiary is supported for the intended transfer.
3. Retry the operation after correcting any invalid details.
4. If the beneficiary remains unavailable, contact support.","Beneficiary availability can depend on account, transfer, or recipient restrictions.",Escalate if a valid beneficiary cannot be added or used after the customer has confirmed the details.,"Beneficiary cannot be added or used
A customer cannot add, select, or make a transfer to a beneficiary.
Beneficiary cannot be added; beneficiary is unavailable; transfer to a beneficiary is blocked or rejected.
1. Check that the beneficiary details are entered correctly.
2. Confirm that the beneficiary is supported for the intended transfer.
3. Retry the operation after correcting any invalid details.
4. If the beneficiary remains unavailable, contact support.
Beneficiary availability can depend on account, transfer, or recipient restrictions.
Escalate if a valid beneficiary cannot be added or used after the customer has confirmed the details."
KB097,Transfers,cancel_transfer,Cancel a transfer,A customer wants to cancel a transfer.,Customer sent a transfer by mistake; customer wants to stop or cancel a transfer.,"1. Check the current transfer status.
2. If cancellation is available for the current status, follow the available cancellation process.
3. If the transfer has already been processed, cancellation may no longer be possible.
4. Contact support if the transfer needs urgent intervention.",Whether a transfer can be cancelled depends on its current processing status.,Escalate urgent cancellation requests or cases where the transfer cannot be cancelled through the available process.,"Cancel a transfer
A customer wants to cancel a transfer.
Customer sent a transfer by mistake; customer wants to stop or cancel a transfer.
1. Check the current transfer status.
2. If cancellation is available for the current status, follow the available cancellation process.
3. If the transfer has already been processed, cancellation may no longer be possible.
4. Contact support if the transfer needs urgent intervention.
Whether a transfer can be cancelled depends on its current processing status.
Escalate urgent cancellation requests or cases where the transfer cannot be cancelled through the available process."
KB098,Transfers,declined_transfer,Transfer was declined,A transfer was declined and could not be completed.,Transfer declined; transfer rejected; transfer did not go through.,"1. Check the transfer status and any available failure information.
2. Verify the recipient and transfer details.
3. Correct any incorrect information and retry if appropriate.
4. Contact support if the transfer continues to be declined.",A declined transfer may require additional investigation when the reason is not clear from the transaction information.,Escalate if repeated transfer attempts are declined or the reason for the decline cannot be resolved from the available information.,"Transfer was declined
A transfer was declined and could not be completed.
Transfer declined; transfer rejected; transfer did not go through.
1. Check the transfer status and any available failure information.
2. Verify the recipient and transfer details.
3. Correct any incorrect information and retry if appropriate.
4. Contact support if the transfer continues to be declined.
A declined transfer may require additional investigation when the reason is not clear from the transaction information.
Escalate if repeated transfer attempts are declined or the reason for the decline cannot be resolved from the available information."
